,Title,Published_date,Views,Comments,Likes,Month
0,The Wonderment Tour tickets are live now. @ARRahman #shorts,2025-04-16,8978,61,750,Apr
1,Nadaan Parinde | The Wonderment Tour @ARRahman,2025-04-16,67464,254,5279,Apr
2,இனிய தமிழ் புத்தாண்டு நல்வாழ்த்துகள் 🌸🌹,2025-04-14,100522,474,9710,Apr
3,The Wonderment Tour | ‪USA Tour | 2025 | @ARRahman,2025-03-19,35304,147,1787,Mar
4,A.R. Rahman’s Address as Trinity Laban Honorary President | @ARRahman,2024-12-24,64790,231,2473,Dec
5,AR Rahman Live in Abu Dhabi: Highlights | @ARRahman,2024-11-12,127467,210,3179,Nov
6,Full Album | Le Musk | AR Rahman | Jukebox | @ARRahman,2024-10-03,91267,249,2507,Oct
7,Oh Raaya Song ft. Dhanush | Raayan Movie Soundtrack | @ARRahman,2024-08-10,587454,766,24614,Aug
8,AR Rahman Malaysia Highlights 2024 | @ARRahman,2024-08-09,118073,203,3506,Aug
9,Legendary Singers & Firdaus Orchestra Perform ​@ARRahman’s Music at Anant & Radhika Ambani's Wedding,2024-08-04,169390,165,3777,Aug
10,See you Malaysia on 27th July | A R Rahman Live | Kuala Lumpur,2024-07-24,264400,568,6681,Jul
11,Congrats to India on the T20 World Cup Win | Team India Hai Hum | @ARRahman,2024-06-30,513609,396,28867,Jun
12,Architect Of Peace Garden | @ARRahman | Blue Cube Architects,2024-05-08,83115,100,2724,May
13,Introducing Secret Mountain | @ARRahman | #hbar,2024-02-14,1021689,199,4151,Feb
14,Rahman's Full Interview With BBC's Presenter Matthew - Talking About Lal Salaam And The Future Of AI,2024-02-02,196015,136,3990,Feb
15,Marakkuma Nenjam Concert |  @ARRahman ​,2023-09-24,258975,0,6763,Sep
16,Le Chalaang Official Anthem (Tamil)  | A.R. Rahman | Mahindra,2023-08-16,223555,388,6643,Aug
17,Le Chalaang Official Anthem | A.R. Rahman | Mahindra,2023-08-16,100917,217,2949,Aug
18,Mark the occasion of India’s 77th Independence Day and listen Album ‘Vande Mataram’ on YouTube,2023-08-14,374651,288,28420,Aug
19,Wings of Love | Sufi Experience | Save Lightman Fund | @ARRahman,2023-06-28,216025,284,7844,Jun
20,​@KhatijaRahman | Music And I,2023-04-26,422329,944,13799,Apr
21,Veera Raja Veera Live | PS 2 Audio Launch | Mani Ratnam | Tips| Madras Talkies | Lyca Productions,2023-04-14,1385011,340,81554,Apr
22,Wings of Love | The @ARRahman Sufi Experience,2023-03-18,24044,66,966,Mar
23,Creating Magic with Music | A conversation with @ARRahman  and L Subramaniam,2023-03-15,156693,254,4081,Mar
24,Happy International Women's Day | @ARRahman,2023-03-08,399104,502,13610,Mar
25,Le Musk Immersive Experience: Highlights from LA Infinity Festival | @ARRahman,2023-02-24,39681,87,1542,Feb
26,The Garden Of Our Heart | Firdaus Orchestra | Sunmisola Agbebi | @ARRahman,2023-02-14,201147,588,7147,Feb
27,Thank you video Guwahati  💙👏 |  @ARRahman   #shorts,2023-02-07,270231,182,18203,Feb
28,Thank you video Malaysia 💙👏 | @ARRahman #shorts,2023-02-02,221298,171,15993,Feb
29,Tribute To Prof. V Lakshminarayan | Don't Leave Me - L Subramaniam X A. R. Rahman Ft. 3 Generations,2023-01-18,184223,468,5981,Jan
30,KATRAAR | Web 3.0 with Digital Collectibles & Metaverse Project | @ARRahman | HBAR foundation,2023-01-06,53343,288,2838,Jan
31,Infinite Love - 10 Years Celebration | Blaaze | @ARRahman,2022-12-14,1356149,288,7532,Dec
32,Happy Birthday Rajinikanth ji 🎂 |  Le Musk  | @ARRahman,2022-12-12,403616,274,18272,Dec
33,"Le Musk | Screening At Sunset Boulevard, LA This November | @ARRahman",2022-10-19,150305,151,4279,Oct
34,Inspiration behind #PS1 Ponniyin Selvan Album @ARRahman   #shorts,2022-09-28,134530,41,6918,Sep
35,All Access Tour | North America Tour 2022 | After Movie | @ARRahman,2022-09-21,114062,273,4615,Sep
36,Rakshas Mama Re Song | PS1 | Out Now #ARRahman | #Shorts,2022-09-13,350438,64,16521,Sep
37,Katraar | Imagination - Innovation #Shorts,2022-08-18,46601,53,2677,Aug
38,44TH Chess Olympiad 2022 Anthem | FT. Hon Chief Minister MK Stalin | @ARRahman | Vignesh Shivan,2022-07-21,664161,1115,32385,Jul
39,A New Rendition Of Moonlight Sonata | Arranged By A.R. Rahman | Now Streaming on Apple Music,2022-06-26,215533,456,11277,Jun
40,World Music Day: A.R. Rahman and Sukhwinder Singh's Journey as Artists and Collaborators,2022-06-21,158042,252,6015,Jun
